video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_40211,0.5704690019343851,0.5321223117969827,0.6152459627019403,0.6125943122460824,0.7699981505901482,752,1874,44,6892,0.7736534512715211,0.8488734835355286,0.7106790481717934
MVI_40212,0.5689724196769939,0.5318157202408608,0.6131022498448868,0.5915725345856073,0.7691320549931239,839,2320,59,7879,0.7596834068781957,0.8476086276961551,0.6882853153953548
MVI_40213,0.5355412895899788,0.49013944347275507,0.5903917252739002,0.5519345624513113,0.754337029289891,808,2593,50,7702,0.7217857405095822,0.8306574277505493,0.6381459361204882
MVI_40241,0.635652604096826,0.6273274831652754,0.6460004567556131,0.7189769054199653,0.8024301446751155,1953,3949,97,21347,0.8338984716693695,0.8769055862746111,0.7949126340937837
MVI_40243,0.6475057932650088,0.6381004464179924,0.6596870937366411,0.7428896473265074,0.8038223031459155,1162,1502,48,10548,0.8499710926960878,0.8641261755485894,0.8362722791050436
MVI_40244,0.6299287216535333,0.6237366758405357,0.6384363713454714,0.7231869254341164,0.7907708952183025,980,1418,41,8811,0.8382216014897579,0.8601457064373582,0.8173873567131994
MVI_40732,0.6560751889895219,0.6668717256185871,0.6467225813148927,0.7717164697706741,0.8219677548156178,1752,830,46,11512,0.7829282552409588,0.7539005951423516,0.8142807505211953
MVI_40751,0.6131200207307712,0.5971016475251043,0.6422446497493745,0.723395613322502,0.792045047206243,802,1220,21,7386,0.7249547164553435,0.746699196326062,0.7044408340102898
MVI_40752,0.5408135881253934,0.4662548628523531,0.6288193441698556,0.5167339188226917,0.823501720829442,904,7183,57,16852,0.6818596171376481,0.88432800529651,0.5548302872062664
MVI_40871,0.6733244405727086,0.5836971767314781,0.7858191988102073,0.6665665529010238,0.8532834781402332,1284,10887,41,36625,0.773453579901645,0.9108874250610614,0.6720546075085324
MVI_40962,0.6564242698658191,0.6454656356194522,0.6690081628100933,0.716490765171504,0.8087977789411956,755,1375,19,7580,0.8456671251719394,0.8833333333333333,0.8110817941952506
MVI_40963,0.5573151469607837,0.5293557013349127,0.5909347824163085,0.6713635192026807,0.7405778182943409,719,3068,38,11639,0.8084476085813942,0.9106566200215285,0.7268665692928946
MVI_40981,0.6244154302139548,0.6105309451683144,0.641986048679028,0.7925403420620349,0.7412807659097758,837,1266,44,10349,0.8775963293699739,0.8965725806451613,0.8594067059619287
MVI_40991,0.308334000191712,0.3903685825051162,0.24545809764642118,0.4678714859437751,0.7265943925142931,317,2032,36,4482,0.43647399641329837,0.5717383447777377,0.35296742525658187
MVI_40992,0.3183129035690479,0.3982343670349908,0.2572865627280064,0.39885420782299486,0.7462140303849902,647,2341,55,5062,0.4111506524317912,0.5145486935866983,0.3423548004741209
MVI_41063,0.5893480849826886,0.5438069361819832,0.6416113829673064,0.6229100318471338,0.8036330891496041,665,3077,47,10048,0.7581995023750283,0.8779465688842326,0.6671974522292994
MVI_41073,0.6476512565387077,0.6172536022487707,0.6827294761629477,0.725594949004371,0.7916972839413013,923,1857,45,10295,0.8360805860805861,0.8777908343125734,0.7981544439048082
MVI_63521,0.6914677110479138,0.6797571675004433,0.7042968896337877,0.7952014846235419,0.8521960185327238,439,2625,26,15088,0.8819578420864594,0.9566733839714773,0.8180673382820784
MVI_63525,0.7645499199227795,0.7315626771814473,0.8046989057708945,0.8636887608069165,0.8492211131163637,114,350,9,3470,0.9060262529832935,0.9390847247990105,0.8752161383285303
MVI_63544,0.4802277372136605,0.4398074173545775,0.5254484822211033,0.43555781966377993,0.7902577588267354,440,649,19,1963,0.6419155232714555,0.6801596351197263,0.6077432501273561
MVI_63552,0.5299849777795221,0.48204876633128,0.5884594657274511,0.5170814002530578,0.7536592775303956,1010,2385,40,7113,0.7190101937592406,0.8051585918438481,0.649514972585407
MVI_63553,0.5422791104140547,0.4886725753337991,0.6056506491247289,0.5861716937354988,0.7558794301397921,748,3663,48,10775,0.7363563187550308,0.8729007633587786,0.6367517401392111
MVI_63554,0.5809206641785597,0.5303608405231413,0.6387099231512591,0.6240479333807251,0.7845046168976401,692,2961,49,9847,0.7675179340028695,0.8824228028503563,0.679090078196405
MVI_63561,0.5520074871475988,0.4856471610455866,0.6305127160985914,0.536468428032235,0.7920351711843298,1071,3416,57,9803,0.7136318869126933,0.825824617860016,0.6282770580434561
MVI_63562,0.5901207646774325,0.5421800467294849,0.646133802272946,0.6281437125748504,0.7936945128453939,557,1883,44,6680,0.767325909921888,0.8623459096002989,0.6911676646706587
MVI_63563,0.5841856787911022,0.5166043007722887,0.6644971275049314,0.6015265579255542,0.7982856756608863,616,3145,50,9564,0.7519730104223146,0.887135749822317,0.6525512337933919
