video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR,motion_model
MVI_39931,0.5923644604610048,0.4959903602637327,0.7115475471397424,0.401424573899771,0.8354857396946108,1590,754,9,3931,0.7111979765463325,0.6488357457520453,0.7868226914271178,EKF + CTRV
MVI_40131,0.6600690248030168,0.675528554399233,0.6464563144759227,0.7841294701122422,0.8298727779331038,1319,1941,48,15324,0.8019716245920202,0.8189361991565773,0.7856956408248499,EKF + CTRV
MVI_40141,0.6403123983818008,0.6182459151523222,0.6663154203449875,0.7846351655416265,0.7845528786343876,584,737,19,6222,0.8464730290456431,0.8571428571428571,0.8360655737704918,EKF + CTRV
MVI_40152,0.5134393807155798,0.4950753720921881,0.5357432864428336,0.4821810406272274,0.7669154190743757,1385,1495,26,5612,0.6822026273168976,0.6890221737549982,0.6755167498218104,EKF + CTRV
MVI_40161,0.685602438630733,0.6566300845258335,0.7187478702276177,0.7566792452830189,0.8375294604494171,901,697,14,6625,0.8602646053218374,0.8474154341777713,0.8735094339622641,EKF + CTRV
MVI_40162,0.6766904305251321,0.6600769718902232,0.6952784632289388,0.7415860047953112,0.8479216926477978,1304,1557,49,11261,0.8275180744532759,0.8370276162790697,0.8182221827546399,EKF + CTRV
MVI_40171,0.4879655468228736,0.3973211616985261,0.6016229038129997,0.3995295698924731,0.8107790149485693,880,4427,54,8928,0.5727863582360752,0.7615684816948523,0.459005376344086,EKF + CTRV
MVI_40172,0.4363474899823515,0.393961700051507,0.4834496467170252,0.4297762098996803,0.8382600913946839,783,9499,63,18142,0.4824434126523506,0.7054954381497984,0.3665527505236468,EKF + CTRV
MVI_40181,0.6276988432769259,0.6242072948015741,0.6328501130470979,0.732594048287479,0.8218564581997477,963,912,30,7124,0.7890062242114834,0.7862020905923345,0.7918304323413813,EKF + CTRV
MVI_40191,0.6932889281543105,0.686928201950111,0.7011918662434571,0.8138850550766907,0.8173016390552232,2360,4720,67,38401,0.8936621799521776,0.9229211176160484,0.8662014010051822,EKF + CTRV
MVI_40192,0.679596310662536,0.671586858196998,0.6893645336260904,0.812404641095696,0.7933473649034685,2925,2275,87,28183,0.893924512417567,0.8838483681892276,0.9042330482915232,EKF + CTRV
MVI_40201,0.6768062850753289,0.6471904112675918,0.7103650215860003,0.7576201372997712,0.821271330975274,882,1723,43,10925,0.857251654053025,0.8929988099960333,0.8242562929061785,EKF + CTRV
MVI_40204,0.6205329075994478,0.5896360625117318,0.6551379131778974,0.7077314071696095,0.8165697172201489,974,5489,92,22428,0.8091519793758212,0.9111259978786356,0.7277064383805957,EKF + CTRV
MVI_40211,0.5704690019343851,0.5321223117969827,0.6152459627019403,0.6125943122460824,0.7699990923881173,752,1874,44,6892,0.7736534512715211,0.8488734835355286,0.7106790481717934,EKF + CTRV
MVI_40212,0.5689546432230561,0.5317925777725919,0.6130963129447453,0.5915725345856073,0.7691036721156475,839,2320,59,7879,0.7596834068781957,0.8476086276961551,0.6882853153953548,EKF + CTRV
MVI_40213,0.5355438833291591,0.490144210345726,0.5903883954112725,0.5519345624513113,0.754344798197425,808,2593,50,7702,0.7217857405095822,0.8306574277505493,0.6381459361204882,EKF + CTRV
MVI_40241,0.6356586872988691,0.6273302257923885,0.6460114117219421,0.7189769054199653,0.802432475338803,1953,3949,97,21347,0.8338984716693695,0.8769055862746111,0.7949126340937837,EKF + CTRV
MVI_40243,0.6475137404636853,0.6381114674228531,0.6596910679263006,0.7428896473265074,0.8038214828805617,1162,1502,48,10548,0.8499710926960878,0.8641261755485894,0.8362722791050436,EKF + CTRV
MVI_40244,0.6299163136387708,0.6237301919735639,0.6384173376581765,0.7231869254341164,0.7907747243530265,980,1418,41,8811,0.8382216014897579,0.8601457064373582,0.8173873567131994,EKF + CTRV
MVI_40732,0.655858359366501,0.666657545671617,0.6464984221527358,0.7712821403752605,0.8219896507147029,1757,830,46,11512,0.7825978038495262,0.7534367714446499,0.8141070187630299,EKF + CTRV
MVI_40751,0.6131576117914787,0.597176463882979,0.6422203600857368,0.7235310046033036,0.7920484961156677,801,1220,21,7386,0.7250052253884205,0.7468063729008182,0.7044408340102898,EKF + CTRV
MVI_40752,0.5408135881253934,0.4662548628523531,0.6288193441698556,0.5167339188226917,0.8235015698576579,904,7183,57,16852,0.6818596171376481,0.88432800529651,0.5548302872062664,EKF + CTRV
