video,track_id,seg_id,lvl,bucket,n_pred,model,iou,diou,expand,traceP
MVI_40991,14,0,full,medium,23,UKF + CTRV,0.009196879327627666,-0.21480714497678796,1.0,12245.851608116505
MVI_40991,15,0,full,medium,20,KF + CV,0.053223218326198855,-0.13264472990444354,1.0,5054.424766112959
MVI_40991,15,0,full,medium,20,EKF + CTRV,0.04557668254919969,-0.14382725981487596,1.0,9699.238931718819
MVI_40991,15,0,full,medium,20,UKF + CTRV,0.07420666011894414,-0.09513690225987853,1.0,8509.408091832034
MVI_40991,22,0,full,medium,22,KF + CV,0.0,-0.24268396064723344,1.2000000000000002,7210.229981681434
MVI_40991,22,0,full,medium,22,EKF + CTRV,0.0,-0.24758829430718418,1.2000000000000002,14468.343570800462
MVI_40991,22,0,full,medium,22,UKF + CTRV,0.013776706249482679,-0.20473093905996698,1.0,12090.310306796102
MVI_40991,23,0,full,medium,21,KF + CV,0.0,-0.2433229986112685,1.2000000000000002,5963.773532949389
MVI_40991,23,0,full,medium,21,EKF + CTRV,0.0,-0.24939365188427637,1.3000000000000003,12356.73280047867
MVI_40991,23,0,full,medium,21,UKF + CTRV,0.012789116886185588,-0.20652705756936904,1.0,10457.42638983684
MVI_40991,27,0,full,medium,21,KF + CV,0.0,-0.23105674497029396,1.1,5406.481473894623
MVI_40991,27,0,full,medium,21,EKF + CTRV,0.0,-0.25112844092893066,1.3000000000000003,10759.15138962158
MVI_40991,27,0,full,medium,21,UKF + CTRV,0.0015351356538259202,-0.22601661928840236,1.0,9038.088838128573
MVI_40992,6,0,full,medium,20,KF + CV,0.02743841302973498,-0.17585402720000867,1.0,8130.683330936231
MVI_40992,6,0,full,medium,20,EKF + CTRV,0.012467305454069738,-0.20159728797452686,1.0,14686.833912715838
MVI_40992,6,0,full,medium,20,UKF + CTRV,0.049565235257922315,-0.14175962748850462,1.0,12438.722589580777
MVI_40992,9,0,full,medium,22,KF + CV,0.13521577951638847,0.0118742724717915,1.0,9941.745246226254
MVI_40992,9,0,full,medium,22,EKF + CTRV,0.1264011207292926,-0.00030726862499991237,1.0,16154.592352805561
MVI_40992,9,0,full,medium,22,UKF + CTRV,0.17838096935335881,0.07491278579409051,1.0,13401.443544948886
MVI_40992,14,0,full,medium,21,KF + CV,0.0,-0.23486971459014414,1.1,7672.763221276294
MVI_40992,14,0,full,medium,21,EKF + CTRV,0.0,-0.2465157875510008,1.3000000000000003,14257.192740329403
MVI_40992,14,0,full,medium,21,UKF + CTRV,0.0011457335856688722,-0.21752589677848563,1.0,11878.66315718391
MVI_40992,15,0,full,medium,21,KF + CV,0.07615446248086284,-0.08236820738303548,1.0,7693.257153674427
MVI_40992,15,0,full,medium,21,EKF + CTRV,0.05514680031487365,-0.10804284617101614,1.0,13537.969185968022
MVI_40992,15,0,full,medium,21,UKF + CTRV,0.09138441455451679,-0.0464588750830969,1.0,11469.430541393749
MVI_40992,16,0,full,medium,21,KF + CV,0.13997155208339612,0.0040619289720287,1.0,7571.432343977
MVI_40992,16,0,full,medium,21,EKF + CTRV,0.1453885747705806,0.0034669640900153453,1.0,12480.122041232888
MVI_40992,16,0,full,medium,21,UKF + CTRV,0.1995599837309639,0.07863025067077291,1.0,10635.552495553193
MVI_40992,17,0,full,medium,20,KF + CV,0.05192305837175186,-0.13178907006144375,1.0,7894.246397831836
MVI_40992,17,0,full,medium,20,EKF + CTRV,0.04886092287641759,-0.1374030736105119,1.0,13288.56517694318
MVI_40992,17,0,full,medium,20,UKF + CTRV,0.08129080495469601,-0.0836603361076563,1.0,11472.123190325472
MVI_40992,18,0,full,medium,21,KF + CV,0.1418952511820162,0.03067430838099655,1.0,7239.324119264311
MVI_40992,18,0,full,medium,21,EKF + CTRV,0.16092826199389496,0.047305887219207324,1.0,12239.307229472875
MVI_40992,18,0,full,medium,21,UKF + CTRV,0.21510281973040837,0.12342341976027826,1.0,10322.50168835701
MVI_40992,22,0,full,medium,20,KF + CV,0.122761330510435,-0.012792464937257164,1.0,7407.426065561118
MVI_40992,22,0,full,medium,20,EKF + CTRV,0.16088171537892,0.01594458194533549,1.0,12573.480015413239
MVI_40992,22,0,full,medium,20,UKF + CTRV,0.22009985240680174,0.0956258798783349,1.0,10808.382719320689
MVI_40992,28,0,full,medium,21,KF + CV,0.07854206336819931,-0.06949353567941037,1.0,8523.18700385796
MVI_40992,28,0,full,medium,21,EKF + CTRV,0.06075760404578722,-0.0938401319091739,1.0,14099.359223112508
MVI_40992,28,0,full,medium,21,UKF + CTRV,0.093547210030184,-0.03749998820181126,1.0,11963.251772138074
MVI_40992,29,0,full,medium,23,KF + CV,0.12299715524190678,-0.013829394868528758,1.0,9145.310938695375
MVI_40992,29,0,full,medium,23,EKF + CTRV,0.11118652685107867,-0.02999671592686666,1.0,15526.033531696112
MVI_40992,29,0,full,medium,23,UKF + CTRV,0.18013611232010274,0.07083853028113271,1.0,12460.993798299807
MVI_40992,31,0,full,medium,22,KF + CV,0.30782810569200686,0.24544933401116548,1.0,8086.812926666544
MVI_40992,31,0,full,medium,22,EKF + CTRV,0.31384665265515904,0.24686291648153008,1.0,12361.277505928958
MVI_40992,31,0,full,medium,22,UKF + CTRV,0.3816337333510667,0.3391663053496529,1.0,10121.474220872018
MVI_40992,34,0,full,medium,20,KF + CV,0.052216452825994186,-0.14083386194050504,1.0,6939.125045352731
MVI_40992,34,0,full,medium,20,EKF + CTRV,0.03692238465898203,-0.17074999076753522,1.0,12591.507100314044
MVI_40992,34,0,full,medium,20,UKF + CTRV,0.07606956179250382,-0.11046941382628173,1.0,10781.445703027694
MVI_40992,35,0,full,medium,22,KF + CV,0.03773466073714997,-0.1567003510993225,1.0,9874.06434455812
MVI_40992,35,0,full,medium,22,EKF + CTRV,0.03807135818756608,-0.17206747154125646,1.0,17727.8779322566
MVI_40992,35,0,full,medium,22,UKF + CTRV,0.09151012666088813,-0.09506118697868067,1.0,14567.638155354536
